klub,kod,lider,mandaty,fullname
prawo i sprawiedliwość,pis,ryszard terlecki,227,klub parlamentarny prawo i sprawiedliwość
koalicja obywatelska,ko,borys budka,126,klub parlamentarny koalicja obywatelska
lewica,lewica,krzysztof gawkowski,44,koalicyjny klub poselski lewicy
koalicja polska,kp,władysław kosiniak-kamysz,24,klub parlamentarny koalicja polska
konfederacja,konfederacja,jakub kulesza,11,koło poselskie konfederacja
polska 2050,polska2050,hanna gill-piątek,8,koło parlamentarne polska 2050
porozumienie,porozumienie,michał wypij,5,koło parlamentarne porozumienie jarosława gowina
kukiz15,kukiz15,paweł kukiz,4,koło poselskie kukiz15 - demokracja bezpośrednia
polskie sprawy,ps,agnieszka ścigaj,4,koło poselskie polskie sprawy
polska partia socjalistyczna,pps,,3,koło parlamentarne pps
posłowie niezrzeszeni,niezrzeszony,,3,posłowie niezrzeszeni
