nazwisko,imie,partia
adamczyk,andrzej,pis
adamczyk,rafał,lewica
Adamowicz,piotr,ko
ajchler,romuald,lewica
ajchler,zbigniew,niezrzeszony
andruszkiewicz,adam,pis
andzel,waldemar,pis
aniśko,tomasz,ko
ardanowski,jan krzysztof,pis
arent,iwona,pis
ast,marek,pis
augustyn,urszula,ko
aziewicz,tadeusz,ko
babalski,zbigniew,pis
babinetz,piotr,pis
bartosik,ryszard,pis
bartoszewicz,władysław teofil,kp
bartuś,barbara,pis
baszko,mieczysław,pis
bąk,dariusz,pis
bejda,paweł,kp
berkowicz,konrad,konfederacja
biejat,magdalena,lewica
bielecki,jerzy,pis
biernacki,marek,kp
błaszczak,mariusz,pis
bochenek,mateusz,ko
bochenek,rafał,pis
borowczak,jerzy,ko
borowiak,joanna,pis
bortniczuk,kamil,pis
borys,piotr,ko
borys-szopa,bożena,pis
bosak,krzysztof,konfederacja
braun,grzegorz,konfederacja
buda,waldemar,pis
budka,borys,ko
bukowiec,stanisław,porozumienie
burzyńska,lidia,pis
buż,wiesław,lewica
chmiel,małgorzata,ko
chmielowiec,zbigniew,pis
choma,kazimierz,pis
chorosińska,dominika,pis
chrzan,tadeusz,pis
cicholska,anna ewa,pis
cichoń,janusz,ko
cieślak,michał,pis
cymański,tadeusz,pis
cyrański,adam,ko
czarnecki,krzysztof,pis
czarnecki,przemysław,pis
czarnecki,witold,pis
czarnek,przemysław,pis
czartoryski,arkadiusz,pis
czarzasty,włodzimierz,lewica
czerniak,jacek,lewica
czernow,zofia,ko
czerwińska,anita,pis
czochara,katarzyna,pis
czykwin,eugeniusz,ko
dąbrowska-banaszek,anna,pis
dobrzyński,leszek,pis
dolata,zbigniew,pis
dolniak,barbara,ko
dorywalski,bartłomiej,pis
drabek,przemysław,pis
duda,elżbieta,pis
duda,jan,pis
duszek,marcin,pis
dworczyk,michał,pis
dyduch,marek,lewica
dziambor,artur,konfederacja
dziedziak,jan,pis
dziemanowicz-bąk,agnieszka,lewica
dzikowski,waldy,ko
dziuk,barbara,pis
emilewicz,jadwiga,pis
fabisiak,joanna,ko
falej,monika,lewica
filiks,magdalena,ko
filipiak,ewa,pis
fogiel,radosław,pis
frydrych,joanna,ko
frysztak,konrad,ko
gadowski,krzysztof,ko
gajewska,aleksandra,ko
gajewska,kinga,ko
galemba,leszek,pis
galla,ryszard,niezrzeszony
gapińska,elżbieta,ko
gasiuk-pihowicz,kamila,ko
gawęda,adam,pis
gawkowski,krzysztof,lewica
gawron,andrzej,pis
gaża,grzegorz,pis
gdula,maciej,lewica
gelert,elżbieta,ko
gembicka,anna,pis
gill-piątek,hanna,polska2050
girzyński,zbigniew,ps
giżyński,szymon,pis
glenc,teresa,pis
gliński,piotr,pis
głogowski,tomasz,ko
golbik,marta,ko
golińska,małgorzata,pis
gołojuch,kazimierz,pis
gonciarz,jarosław,pis
gontarz,robert,pis
gosek,mariusz,pis
gosek-popiołek,daria,lewica
gosiewska,małgorzata,pis
gowin,jarosław,porozumienie
górska,agnieszka,pis
górski,maciej,pis
grabarczyk,cezary,ko
grabarczuk,krzysztof,ko
grabiec,jan,ko
gramatyka,michał,polska2050
gróbarczyk,marek,pis
grupiński,rafał,ko
grzyb,andrzej,kp
gut-mostowy,andrzej,pis
gwiazdowski,kazimierz,pis
gwóźdź,marcin,pis
haidar,riad,ko
hałąs,teresa,pis
hanajczyk,agnieszka,ko
hardie-douglas,jerzy,ko
hartwich,iwona,ko
hennig-kloska,paulina,polska2050
hoc,czesław,pis
hoffmann,zbigniew grzegorz,pis
hok,marek,ko
horała,marcin,pis
hreniak,paweł,pis
iwaniak,arkadiusz,lewica
jach,michał,pis
jachira,klaudia,ko
janowska,małgorzata,pis
janyska,maria małgorzata,ko
jaros,michał,ko
jaśkowiak,joanna,ko
joński,dariusz,ko
kaczmarczyk,norbert,pis
kaczyński,filip,pis
kaczyński,jarosław,pis
kaleta,piotr,pis
kaleta,sebastian,pis
kałużny,mariusz,pis
kamiński,krystian,konfederacja
kamiński,mariusz,pis
kanthak,jan,pis
kapinos,fryderyk,pis
kasprzak,mieczysław,kp
kodawa-błońska,małgorzata,ko
kierwiński,marcin,ko
klimczak,dariusz,kp
kluzik-rostowska,joanna,ko
kołakowski,lech,pis
kołodziej,ewa,ko
konieczny,maciej,lewica
konwiński,zbigniew,ko
koperski,przemysław,lewica
kopiec,maciej,lewica
korwin-mikke,janusz,konfederacja
kosiniak-kamysz,władysław,kp
kossakowski,wojciech,pis
kostuś,tomasz,ko
kosztowniak,andrzej,pis
kotula,katarzyna,lewica
kowal,paweł,ko
kowalczyk,henryk,pis
kowalski,janusz,pis
kownacki,bartosz,pis
kozanecka,ewa,pis
kozik,krzysztof janusz,pis
kozłowska,iwona maria,ko
